94846KORD ORD20140101061511601/01/14 06:15:31  5-MIN KORD 011215Z 35009KT 8SM OVC012 M09/M12 A3023 380 80 -2500 350/09 RMK AO2 I1000 T10941122 $
94846KORD ORD20140101062011601/01/14 06:20:31  5-MIN KORD 011220Z 35009KT 8SM OVC012 M10/M12 A3024 380 84 -2600 360/09 RMK AO2 I1000 T11001122 $
94846KORD ORD20140101062511601/01/14 06:25:31  5-MIN KORD 011225Z 36007KT 8SM OVC012 M09/M12 A3023 380 80 -2500 360/07 RMK AO2 I1000 T10941122 $
94846KORD ORD20140101063013201/01/14 06:30:31  5-MIN KORD 011230Z 36007KT 6SM -SN OVC012 M09/M12 A3023 380 80 -2500 010/07 RMK AO2 SNB30 P0000 I1000 T10941122 $
94846KORD ORD20140101063513501/01/14 06:35:31  5-MIN KORD 011235Z 01008KT 4SM -SN BR OVC012 M09/M12 A3023 380 84 -2500 010/08 RMK AO2 SNB30 P0000 I1000 T10941117 $
94846KORD ORD20140101064014201/01/14 06:40:31  5-MIN KORD 011240Z 01008KT 6SM -SN BR SCT008 OVC012 M09/M12 A3023 390 84 -2500 010/08 RMK AO2 SNB30 P0000 I1000 T10941117 $
94846KORD ORD20140101064514901/01/14 06:45:31  5-MIN KORD 011245Z 36009KT 4SM -SN BR BKN008 OVC012 M09/M12 A3023 390 84 -2500 010/09 RMK AO2 SNB30 SLP250 P0000 I1000 T10941117 $
94846KORD ORD20140101065014901/01/14 06:50:31  5-MIN KORD 011250Z 01009KT 4SM -SN BR BKN008 OVC012 M09/M12 A3023 390 84 -2500 010/09 RMK AO2 SNB30 SLP249 P0000 I1000 T10941117 $
94846KORD ORD20140101065512701/01/14 06:55:31  5-MIN KORD 011255Z 01007KT 4SM -SN BKN008 OVC012 M09/M12 A3022 390 80 -2400 010/07 RMK AO2 P0000 T10891117 $
94846KORD ORD20140101070012701/01/14 07:00:31  5-MIN KORD 011300Z 02007KT 4SM -SN BKN008 OVC012 M09/M12 A3022 390 80 -2400 020/07 RMK AO2 P0001 T10891117 $
94846KORD ORD20140101070513901/01/14 07:05:31  5-MIN KORD 011305Z 01006KT 3SM -SN BKN008 OVC012 M09/M12 A3023 390 80 -2400 010/06 RMK AO2 CIG 006V011 P0001 T10891117 $
94846KORD ORD20140101071013201/01/14 07:10:31  5-MIN KORD 011310Z 35006KT 3SM -SN OVC008 M09/M12 A3022 390 80 -2400 360/06 RMK AO2 CIG 007V011 P0001 T10891117 $
94846KORD ORD20140101071513201/01/14 07:15:31  5-MIN KORD 011315Z 03006KT 3SM -SN OVC008 M09/M12 A3022 390 80 -2400 030/06 RMK AO2 CIG 007V011 P0001 T10891117 $
94846KORD ORD20140101072013501/01/14 07:20:31  5-MIN KORD 011320Z 03007KT 3SM -SN BR OVC008 M09/M11 A3022 390 84 -2400 030/07 RMK AO2 CIG 007V014 P0001 T10891111 $
94846KORD ORD20140101072513201/01/14 07:25:31  5-MIN KORD 011325Z 04006KT 5SM -SN OVC010 M08/M11 A3023 390 80 -2300 040/06 RMK AO2 CIG 007V013 P0001 T10831111 $
94846KORD ORD20140101073013201/01/14 07:30:31  5-MIN KORD 011330Z 06008KT 5SM -SN OVC010 M07/M10 A3023 390 81 -2200 070/08 RMK AO2 CIG 007V011 P0001 T10721100 $
94846KORD ORD20140101073513201/01/14 07:35:31  5-MIN KORD 011335Z VRB06KT 5SM -SN OVC010 M07/M10 A3023 380 81 -2200 VRB/06 RMK AO2 CIG 007V011 P0001 T10721100 $
94846KORD ORD20140101074013201/01/14 07:40:31  5-MIN KORD 011340Z 02004KT 4SM -SN OVC010 M08/M11 A3024 380 80 -2300 020/04 RMK AO2 CIG 007V013 P0001 T10831111 $
94846KORD ORD20140101074512201/01/14 07:45:31  5-MIN KORD 011345Z VRB04KT 6SM -SN OVC010 M08/M11 A3023 380 80 -2300 VRB/04 RMK AO2 CIG 008V013 P0001 $
94846KORD ORD20140101075012701/01/14 07:50:31  5-MIN KORD 011350Z 07007KT 6SM -SN OVC010 M08/M11 A3023 380 77 -2300 070/07 RMK AO2 SLP251 P0001 T10781111 $
94846KORD ORD20140101075512001/01/14 07:55:31  5-MIN KORD 011355Z 08009KT 5SM -SN OVC012 M06/M09 A3023 380 77 -2000 080/09 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101080012701/01/14 08:00:31  5-MIN KORD 011400Z 08011KT 5SM -SN BKN012 OVC016 M06/M09 A3023 390 77 -2000 080/11 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101080512001/01/14 08:05:31  5-MIN KORD 011405Z 07012KT 5SM -SN OVC012 M06/M09 A3023 380 77 -2100 080/12 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101081013801/01/14 08:10:31  5-MIN KORD 011410Z 08011KT 3SM R10L/5500VP6000FT -SN OVC013 M06/M09 A3024 380 77 -2100 090/11 RMK AO2 P0000 T10611094 $
94846KORD ORD20140101081513801/01/14 08:15:31  5-MIN KORD 011415Z 08010KT 3SM R10L/5500VP6000FT -SN OVC013 M06/M09 A3024 380 77 -2100 080/10 RMK AO2 P0000 T10611094 $
